ticket,area,direccion_entidad,Seccion,Manzana,Parcela,fecha_inspeccion
DGFyC-639357,SGO Fiscalización Nocturna,CABILDO AV. 3241,27,7,10,21/03/2021
DGFyC-644684,SGO Fiscalización Crítica,CUENCA 2201,69,2,030A,20/03/2021
DGFyC-644940,SGO Fiscalización Nocturna,DORREGO AV. 1301,33,47,15,21/03/2021
DGFyC-645665,SGO Fiscalización Nocturna,HONDURAS 5670,35,17,9,21/03/2021
DGFyC-645973,SGO Fiscalización Nocturna,GORRITI 5033,19,035A,16,20/03/2021
DGFyC-645331,SGO Fiscalización Crítica,GORRITI 3956,19,7,8,20/03/2021
DGFyC-642663,SGO Fiscalización Crítica,MONTES DE OCA AV. 1000,10,013A,14,20/03/2021
DGFyC-644142,SGO Fiscalización Nocturna,PAVON AV. 4102,36,32,1,21/03/2021
DGFyC-644783,SGO Fiscalización Nocturna,ZELAYA 3185,13,62,24,20/03/2021
DGFyC-646004,SGO Fiscalización Nocturna,CABILDO AV. 2921,27,4,19,21/03/2021
DGFyC-643908,SGO Est. Salud y Geriátricos,PUEYRREDON AV. 1341,11,4,018A,22/03/2021
DGFyC-642539,SGO Fiscalización Nocturna,UGARTECHE 3208,21,73,20,21/03/2021
DGFyC-645098,SGO Fiscalización Nocturna,SAN LUIS 2514,9,23,1,21/03/2021
DGFyC-644127,SGO Fiscalización Nocturna,QUEVEDO 3376,87,55,30,21/03/2021
DGFyC-645644,SGO Fiscalización Nocturna,JUNCAL 2102,11,46,001c,21/03/2021
DGFyC-645286,SGO Verificaciones,CAMPANA 2820,81,151,22,22/03/2021
DGFyC-645377,SGO Fiscalización Nocturna,LAVALLE 343,1,46,22,21/03/2021
DGFyC-645392,SGO Fiscalización Nocturna,CABILDO AV. 4665,29,10,10,21/03/2021
DGFyC-646008,Auditorias Integrales Programadas,ENTRE RIOS AV. 2139,24,98,004B,19/03/2021
DGFyC-646073,SGO Eventos Deportivos,AVENIDA SANTA FE 2239,11,33,21,20/03/2021
DGFyC-645093,SGO Est. Hoteles y Pensiones,AMENABAR 1066,37,130,26,22/03/2021
DGFyC-646075,SGO Eventos Deportivos,MENDOZA 2476,39,98,3,21/03/2021
DGFyC-645231,SGO Verificaciones,CHILE 477,2,38,17,22/03/2021
DGFyC-643049,SGO Fiscalización Nocturna,RIVADAVIA AV. 6465,65,128A,003i,22/03/2021
DGFyC-638971,SGO Suspensiones y Rechazos,CHILE 417,2,38,25,22/03/2021
DGFyC-646006,SGO Fiscalización Nocturna,AGUERO 806,13,55,022a,21/03/2021
DGFyC-644634,SGO Est. Salud y Geriátricos,CORDOBA AV. 2751,15,123,14,22/03/2021
DGFyC-645307,SGO Verificaciones,MORON 2985,65,27,20,22/03/2021
DGFyC-646071,SGO Eventos Deportivos,CALLAO AV. 702,9,82,031c,20/03/2021
DGFyC-401413,SGO Est. Deportivos,MONTIEL 5142,82,31,013A,22/03/2021
DGFyC-645649,SGO Fiscalización Nocturna,HONDURAS 5044,19,035B,004e,21/03/2021
DGFyC-642648,SGO Suspensiones y Rechazos,HUMBERTO 1° 2766,30,94,10,22/03/2021
DGFyC-643594,SGO Verificaciones,AVELLANEDA AV. 3051,65,15,35,22/03/2021
DGFyC-646077,SGO Eventos Deportivos,AVENIDA SANTA FE 4298,,,,21/03/2021
DGFyC-645279,SGO Verificaciones,BRASIL 689,8,39,18,22/03/2021
DGFyC-643043,SGO Fiscalización Nocturna,RIVADAVIA AV. 7341,65,31,019d,21/03/2021
DGFyC-646005,SGO Fiscalización Nocturna,AGUERO 449,13,59,13,21/03/2021
DGFyC-645978,SGO Eventos Deportivos,LUNA 1211,26,11,0,20/03/2021
DGFyC-646000,SGO Fiscalización Nocturna,MONTES DE OCA AV. 971,18,142B,33,21/03/2021
DGFyC-646009,Auditorias Integrales Programadas,FINOCHIETTO ENRIQUE DR. 2181,24,92,024D,19/03/2021
DGFyC-646074,SGO Eventos Deportivos,CABILDO AV. 663,23,17,23,20/03/2021
DGFyC-638591,SGO Fiscalización Nocturna,GUARDIA VIEJA 3468,13,41,8,22/03/2021
DGFyC-645111,SGO Suspensiones y Rechazos,PASEO COLON AV. 1353,4,38,001I,22/03/2021
DGFyC-646132,Auditorias Integrales Programadas,BRASIL 3088,32,103,11,18/03/2021
DGFyC-645876,SGO Fiscalización Nocturna,BOEDO 697,36,130,027B,20/03/2021
DGFyC-640813,SGO Fiscalización Crítica,AREVALO 1488,33,85,47,20/03/2021
DGFyC-644990,SGO Fiscalización Nocturna,CORDOBA AV. 643,3,41,026A,21/03/2021
DGFyC-645981,SGO Eventos Deportivos,LA PAMPA 1376,23,131,1,20/03/2021
DGFyC-645239,SGO Verificaciones,CHARCAS 4005,19,152,27,22/03/2021
DGFyC-644582,SGO Fiscalización Nocturna,AVELLANEDA 548,45,71,004D,22/03/2021
DGFyC-646070,SGO Eventos Deportivos,CALLAO AV. 602,9,81,036A,20/03/2021
DGFyC-645302,SGO Verificaciones,CUENCA 3356,81,170,35,22/03/2021
DGFyC-646155,SGO Eventos Masivos,AVENIDA DEL LIBERTADOR 4103,23,135,000A,21/03/2021
DGFyC-644704,SGO Fiscalización Crítica,OLAZABAL AV. 5501,51,14,27,20/03/2021
DGFyC-644920,SGO Fiscalización Nocturna,BOEDO AV. 432,28,3,008A,20/03/2021
DGFyC-644982,SGO Fiscalización Nocturna,AVENIDA SANTA FE 902,3,21,1,21/03/2021
DGFyC-645980,SGO Eventos Deportivos,AVELLANEDA AV. 1240,57,039B,000D,20/03/2021
DGFyC-644670,SGO Est. Hoteles y Pensiones,AVELLANEDA 996,45,17,12,22/03/2021
DGFyC-465922,SGO Est. Deportivos,BOGOTA 70,45,127,6,22/03/2021
DGFyC-645016,SGO Fiscalización Nocturna,HUMAHUACA 3302,13,51,1,22/03/2021
DGFyC-356300,SGO Inspecciones simples,SALTA 1710,16,61,007b,16/03/2021
DGFyC-645584,SGO Fiscalización Crítica,NAZCA AV. 1235,67,39,9,20/03/2021
DGFyC-645371,SGO Fiscalización Nocturna,MOSCONI GENERAL AV. 2883,73,31,018A,20/03/2021
DGFyC-645475,SGO Fiscalización Nocturna,LA RIOJA 1180,30,73,001H,21/03/2021
DGFyC-645672,SGO Fiscalización Nocturna,SARACHAGA 4645,77,41,14,21/03/2021
DGFyC-646007,SGO Fiscalización Nocturna,BULNES 331,13,3,12,21/03/2021
DGFyC-153174,SGO Est. Hoteles y Pensiones,JUNIN 1280,11,46,35,22/03/2021
DGFyC-645316,SGO Verificaciones,BOGOTA 2960,65,23,8,22/03/2021
DGFyC-645662,SGO Fiscalización Nocturna,RIVADAVIA AV. 8451,77,89,001A,21/03/2021
DGFyC-645295,SGO Verificaciones,CUENCA 3420,81,171,039A,22/03/2021
DGFyC-645212,SGO Verificaciones,HUMBERTO 1° 1815,22,67,37,22/03/2021
DGFyC-645158,SGO Suspensiones y Rechazos,CAMPANA 2821,81,164,19,22/03/2021
DGFyC-646131,Auditorias Integrales Programadas,RONDEAU 2965,24,14,23,18/03/2021
DGFyC-641803,SGO Est. Deportivos,CASTRO BARROS AV. 148,36,119,012A,22/03/2021
DGFyC-645090,SGO Suspensiones y Rechazos,BERUTI 3701,21,24,16,22/03/2021
DGFyC-645256,SGO Verificaciones,SOLER 4501,19,106,026A,22/03/2021
DGFyC-645019,SGO Fiscalización Nocturna,CORRIENTES AV. 3202,13,59,001A,22/03/2021
DGFyC-495732,SGO Est. Hoteles y Pensiones,MENDEZ DE ANDES 538,45,034C,8,22/03/2021
DGFyC-501030,SGO Fiscalización Nocturna,RIVERA INDARTE AV. 384,48,116,24,22/03/2021
DGFyC-646152,SGO Eventos Deportivos,BRANDSEN 805,6,006I,15,21/03/2021
DGFyC-646207,SGO Est. Educativos,REPUBLICA DOMINICANA 3586,19,132,002B,19/03/2021
DGFyC-527510,SGO Est. Deportivos,ISABEL LA CATOLICA 362,8,12,14,23/03/2021
DGFyC-638942,SGO Est. Deportivos,CALIFORNIA 3080,26,035B,000A,23/03/2021
DGFyC-645290,SGO Verificaciones,COSTA RICA 3924,19,58,3,22/03/2021
DGFyC-645130,SGO Fiscalización Nocturna,LAVALLE 3602,13,9,1,22/03/2021
DGFyC-646215,SGO Est. Educativos,SERRANO 930,31,56,28,19/03/2021
DGFyC-295384,SGO Inspecciones simples,IBERA 2386,27,5,002D,23/03/2021
DGFyC-644591,SGO Grandes Superficies,MENDEZ DE ANDES 1170,57,85,10,23/03/2021
DGFyC-614976,SGO Grandes Superficies,AVENIDA DEL LIBERTADOR 8140,29,100,024A,24/03/2021
DGFyC-646204,SGO Est. Educativos,OLIDEN 4338,80,118,18,19/03/2021
DGFyC-642859,Auditorias Integrales Programadas,NAZCA AV. 357,65,33,9,22/03/2021
DGFyC-417132,SGO Inspecciones simples,TRIUNVIRATO AV. 3911,49,048A,27,23/03/2021
DGFyC-645250,SGO Verificaciones,PASEO COLON AV. 557,2,57,18,23/03/2021
DGFyC-638399,SGO Inspecciones simples,CORVALAN 2990,64,045B,0,23/03/2021
DGFyC-646261,SGO Fiscalización Nocturna,AVENIDA ALVAREZ THOMAS 284,33,75,011A,23/03/2021
DGFyC-644750,Auditorias Integrales Programadas,CONCORDIA 359,77,141,015B,22/03/2021
DGFyC-645144,SGO Inspecciones simples,CONGRESO 2113,27,26,001B,23/03/2021
DGFyC-519396,SGO Inspecciones simples,TRIUNVIRATO AV. 3771,49,44,24,23/03/2021
DGFyC-378898,SGO Inspecciones simples,IBERA 2516,41,146,2,23/03/2021
DGFyC-645037,SGO Inspecciones simples,SALTA 1427,14,44,29,23/03/2021
DGFyC-645479,SGO Suspensiones y Rechazos,CUBA 2809,27,26,016A,23/03/2021
DGFyC-645499,SGO Suspensiones y Rechazos,ANCASTE 3687,34,050A,018G,23/03/2021
DGFyC-646308,SGO Fiscalización Crítica,ALVAREZ JONTE AV. 3501,81,121A,43,22/03/2021
DGFyC-646403,SGO Est. Hoteles y Pensiones,CASTAÑON 3475,52,57,026A,22/03/2021
DGFyC-521101,SGO Grandes Superficies,ESCALADA AV. 4921,70,001E,000B,23/03/2021
DGFyC-482917,SGO Inspecciones simples,IBERA 2286,27,12,002E,23/03/2021
DGFyC-640960,SGO Verificaciones,CHACABUCO 199,2,16,18,23/03/2021
DGFyC-642452,SGO Verificaciones,CABILDO AV. 2996,41,156,001D,23/03/2021
DGFyC-645492,SGO Suspensiones y Rechazos,BEAZLEY 3814,34,022A,2,23/03/2021
DGFyC-646003,SGO Fiscalización Nocturna,CABILDO AV. 4499,29,8,008b,21/03/2021
DGFyC-644919,SGO Est. Salud y Geriátricos,ARENGREEN 1241,57,107,27,22/03/2021
DGFyC-646028,Auditorias Integrales Programadas,DIRECTORIO AV. 4989,62,120,19,19/03/2021
DGFyC-639613,SGO Suspensiones y Rechazos,TERRADA 1010,65,40,025D,22/03/2021
DGFyC-640459,SGO Fiscalización Crítica,GORRITI 3453,15,42,16,21/03/2021
DGFyC-643953,SGO Fiscalización Nocturna,PERU 501,,,,22/03/2021
DGFyC-645147,SGO Inspecciones simples,CONGRESO 1881,27,60,018D,23/03/2021
DGFyC-646185,SGO Fiscalización Nocturna,ARMENIA 1242,31,107,14,23/03/2021
DGFyC-441392,SGO Est. Hoteles y Pensiones,CATAMARCA 325,28,59,6,23/03/2021
DGFyC-646174,SGO Fiscalización Nocturna,DIAZ COLODRERO 2315,51,60,014C,23/03/2021
DGFyC-645572,Auditorias Integrales Programadas,NICARAGUA 6069,,,,23/03/2021
DGFyC-645155,SGO Est. Deportivos,PASCO 48,20,50,6,23/03/2021
DGFyC-645150,SGO Inspecciones simples,ESCALADA AV. 2303,64,86,12,23/03/2021
DGFyC-600230,SGO Est. Hoteles y Pensiones,ENTRE RIOS AV. 1982,16,17,19,23/03/2021
DGFyC-643776,SGO Verificaciones,HOMERO 472,60,126,21,23/03/2021
DGFyC-646233,Auditorias Integrales Programadas,NUÑEZ 1612,27,77,008A,22/03/2021
DGFyC-633774,SGO Inspecciones simples,CABILDO AV. 3002,41,157,27,23/03/2021
DGFyC-340922,SGO Inspecciones simples,CABILDO AV. 2530,41,152,13,23/03/2021
DGFyC-612561,SGO Verificaciones,AVELLANEDA AV. 2719,65,45,032B,22/03/2021
DGFyC-646076,SGO Eventos Deportivos,CABILDO AV. 2225,25,5,011a,21/03/2021
DGFyC-637234,SGO Fiscalización Nocturna,TUCUMAN 501,1,31,23,22/03/2021
DGFyC-645230,SGO Verificaciones,COMBATE DE LOS POZOS 706,20,67,13,22/03/2021
DGFyC-430770,SGO Inspecciones simples,AVENIDA DE LOS INCAS 4732,61,80,5,23/03/2021
DGFyC-640959,SGO Verificaciones,MORENO 877,2,6,001h,23/03/2021
DGFyC-644624,SGO Fiscalización Crítica,RIVADAVIA AV. 2301,9,34,011a,22/03/2021
DGFyC-499868,SGO Inspecciones simples,CABILDO AV. 2677,27,2,010a,23/03/2021
DGFyC-441118,SGO Inspecciones simples,URDININEA 1725,49,52,12,23/03/2021
DGFyC-645087,SGO Suspensiones y Rechazos,PARAGUAY 3779,19,126,4,22/03/2021
DGFyC-634687,SGO Fiscalización Crítica,GORRITI 4488,19,12,010A,21/03/2021
DGFyC-645179,SGO Verificaciones,HUMBERTO 1° 2495,22,19,20,22/03/2021
DGFyC-433942,SGO Inspecciones simples,CULLEN 4891,53,15,013A,23/03/2021
DGFyC-637235,SGO Verificaciones,LIMA 1493,14,52,7,23/03/2021
DGFyC-646130,Auditorias Integrales Programadas,DE LOS CONSTITUYENTES AV. 6020,75,019C,2,19/03/2021
DGFyC-637901,SGO Fiscalización Nocturna,DIAZ VELEZ AV. 5000,45,107,8,22/03/2021
DGFyC-646210,SGO Est. Educativos,SERRANO 930,31,56,28,19/03/2021
DGFyC-645999,SGO Fiscalización Nocturna,URIARTE 1501,19,036A,004A,21/03/2021
DGFyC-641036,SGO Est. Deportivos,CASTRO BARROS AV. 148,36,119,012A,22/03/2021
DGFyC-645089,SGO Suspensiones y Rechazos,CHARCAS 3888,19,136,5,22/03/2021
DGFyC-644490,SGO Fiscalización Crítica,HUMBERTO 1° 319,4,34,22,21/03/2021
DGFyC-646079,SGO Eventos Deportivos,HONDURAS 4928,19,034B,2,21/03/2021
DGFyC-635307,SGO Fiscalización Nocturna,GORRITI 4295,19,27,14,22/03/2021
DGFyC-646421,SGO Est. Hoteles y Pensiones,LACARRA AV. 1810,56,113B,000F,22/03/2021
DGFyC-646265,SGO Fiscalización Nocturna,VUELTA DE OBLIGADO 2481,25,14,007c,23/03/2021
DGFyC-644955,SGO Est. Hoteles y Pensiones,MAGALLANES 1221,10,61,27,23/03/2021
DGFyC-601814,SGO Verificaciones,CORTINA 969,91,60,014A,23/03/2021
DGFyC-646644,SGO Est. Educativos,BALBASTRO 2253,44,56,27,22/03/2021
DGFyC-631913,SGO Grandes Superficies,LARRAZABAL 4146,66,2,009C,23/03/2021
DGFyC-301182,SGO Inspecciones simples,IBERA 2019,27,39,31,23/03/2021
DGFyC-641548,SGO Verificaciones,AZURDUY JUANA 2299,27,17,13,23/03/2021
DGFyC-395854,SGO Inspecciones simples,CABILDO AV. 3896,43,180,32,23/03/2021
DGFyC-644017,SGO Inspecciones simples,CABILDO AV. 1342,37,154,3,23/03/2021
DGFyC-644309,SGO Inspecciones simples,CRAMER 3626,43,126,26,23/03/2021
DGFyC-640935,SGO Fiscalización Crítica,BOEDO AV. 909,36,126,001A,22/03/2021
DGFyC-531774,SGO Inspecciones simples,SALTA 1488,,,,23/03/2021
DGFyC-646581,Auditorias Integrales Programadas,CATAMARCA 1095,30,84,38,16/03/2021
DGFyC-646589,Auditorias Integrales Programadas,CORRIENTES AV. 1646,5,12,007A,22/03/2021
DGFyC-482633,SGO Grandes Superficies,TERRADA 485,65,44,12,23/03/2021
DGFyC-645181,SGO Fiscalización Crítica,TRIUNVIRATO AV. 4500,51,53,1,22/03/2021
DGFyC-535123,SGO Inspecciones simples,CULLEN 5219,63,102,016A,23/03/2021
DGFyC-646399,SGO Est. Hoteles y Pensiones,MARTINEZ CASTRO 2974,56,138B,16,22/03/2021
DGFyC-642567,SGO Fiscalización Nocturna,AVENIDA ALVAREZ THOMAS 540,33,78,2,23/03/2021
DGFyC-637525,SGO Verificaciones,BRASIL 1110,16,67,0,23/03/2021
DGFyC-644672,SGO Est. Hoteles y Pensiones,SARMIENTO 3004,13,78,1,23/03/2021
DGFyC-646176,SGO Fiscalización Nocturna,OLAZABAL AV. 4432,51,83,4,23/03/2021
DGFyC-646642,SGO Est. Educativos,BRASIL 882,8,32,2,22/03/2021
DGFyC-646711,SGO Suspensiones y Rechazos,ENTRE RIOS AV. 1862,16,18,019e,23/03/2021
DGFyC-646186,SGO Fiscalización Crítica,CASEROS AV. 3001,32,101,039A,23/03/2021
DGFyC-646586,Auditorias Integrales Programadas,ALVEAR 1661,7,25,002e,22/03/2021
DGFyC-246038,SGO Inspecciones simples,LA PAMPA 5025,51,050A,31,23/03/2021
DGFyC-641549,SGO Verificaciones,CONGRESO 1931,27,048A,006H,23/03/2021
DGFyC-643046,SGO Verificaciones,BARCO CENTENERA del 2957,46,166,5,23/03/2021
DGFyC-534739,SGO Inspecciones simples,ARCOS 1851,25,22,15,23/03/2021
DGFyC-517472,SGO Inspecciones simples,COSTA RICA 4337,19,80,16,23/03/2021
DGFyC-645671,SGO Fiscalización Nocturna,CUBA 2491,25,21,007C,23/03/2021
DGFyC-422666,SGO Inspecciones simples,SALTA 1329,14,46,38,23/03/2021
DGFyC-449618,SGO Est. Hoteles y Pensiones,PIEDRAS 1649,8,31,26,23/03/2021
DGFyC-646172,SGO Fiscalización Nocturna,OLAZABAL AV. 4800,51,64,22,23/03/2021
DGFyC-614975,SGO Grandes Superficies,VEDIA 1700,29,105,010c,23/03/2021
DGFyC-645476,SGO Suspensiones y Rechazos,MONTAÑESES 2724,27,81,25,23/03/2021
DGFyC-645594,SGO Suspensiones y Rechazos,LOPE DE VEGA 419,77,4,22,23/03/2021
DGFyC-483353,SGO Inspecciones simples,SALTA 1563,14,43,016a,23/03/2021
DGFyC-635669,SGO Inspecciones simples,CORRALES 6745,82,20,37,23/03/2021
DGFyC-644587,Auditorias Integrales Programadas,AVELLANEDA AV. 3510,77,125,001b,23/03/2021
DGFyC-572253,SGO Inspecciones simples,GUAMINI 5702,84,29,15,23/03/2021
DGFyC-484648,SGO Grandes Superficies,ROOSEVELT FRANKLIN D. 3644,41,12,001d,25/03/2021
DGFyC-645011,SGO Fiscalización Nocturna,CORRIENTES AV. 3564,13,28,5,24/03/2021
DGFyC-646928,SGO Inspecciones simples,CORRIENTES AV. 2322,9,37,003a,23/03/2021
DGFyC-645710,SGO Fiscalización Nocturna,RIVADAVIA AV. 3913,17,064A,060A,22/03/2021
DGFyC-645133,SGO Fiscalización Nocturna,TUCUMAN 3014,13,73,1,22/03/2021
DGFyC-568523,SGO Grandes Superficies,O'HIGGINS 4060,29,44,30,24/03/2021
DGFyC-646692,SGO Fiscalización Crítica,ESCALADA AV. 809,62,138,001A,23/03/2021
DGFyC-644209,SGO Inspecciones simples,CAMPANA 2910,81,152,19,25/03/2021
DGFyC-646249,SGO Fiscalización Nocturna,CORDOBA AV. 5267,31,115,11,24/03/2021
DGFyC-645976,SGO Eventos Masivos,AVENIDA DEL LIBERTADOR 4401,23,135,000A,20/03/2021
DGFyC-490379,SGO Est. Deportivos,CORRALES 2672,52,92,9,22/03/2021
DGFyC-586802,SGO Fiscalización Crítica,FITZ ROY 1327,33,67,13,21/03/2021
DGFyC-640986,SGO Verificaciones,DEFENSA 1136,4,33,7,22/03/2021
DGFyC-645248,SGO Verificaciones,CHARCAS 3847,19,150,19,22/03/2021
DGFyC-520937,SGO Suspensiones y Rechazos,ALBERTI 1052,22,19,13,22/03/2021
DGFyC-646162,SGO Fiscalización Nocturna,HUMAHUACA 4310,17,48,33,22/03/2021
DGFyC-646280,SGO Fiscalización Crítica,BOEDO AV. 697,36,130,027B,22/03/2021
DGFyC-433990,SGO Inspecciones simples,AVENIDA ALVAREZ THOMAS 3312,53,15,020C,23/03/2021
DGFyC-645135,SGO Est. Hoteles y Pensiones,BOLIVAR 1526,8,55,9,23/03/2021
DGFyC-646173,SGO Fiscalización Nocturna,HOLMBERG 3465,,,,23/03/2021
DGFyC-646590,Auditorias Integrales Programadas,CORRIENTES AV. 1716,5,4,001E,22/03/2021
DGFyC-646643,SGO Est. Educativos,GIRIBONE 863,37,17,006L,22/03/2021
DGFyC-646653,Auditorias Integrales Programadas,SALTA 148,12,56,20,09/03/2021
DGFyC-596629,SGO Fiscalización Nocturna,ZAPIOLA 1353,37,101,10,25/03/2021
DGFyC-646627,SGO Fiscalización Nocturna,NAZCA AV. 281,65,032B,009B,24/03/2021
DGFyC-613747,SGO Inspecciones simples,SALTA 1422,14,52,2,23/03/2021
DGFyC-645481,SGO Suspensiones y Rechazos,IBERA 2108,27,27,1,23/03/2021
DGFyC-645713,SGO Grandes Superficies,RESERVISTAS ARGENTINOS AV. 439,93,31,17,25/03/2021
DGFyC-467137,SGO Est. Educativos,AMENABAR 1840,39,81,015D,24/03/2021
DGFyC-645604,SGO Inspecciones simples,CAPDEVILA 3060,63,118,32,25/03/2021
DGFyC-533712,SGO Inspecciones simples,SALTA 1846,16,60,11,26/03/2021
DGFyC-645556,SGO Inspecciones simples,CABILDO AV. 1237,23,36,007a,25/03/2021
DGFyC-646998,SGO Fiscalización Nocturna,ESTADOS UNIDOS 756,4,11,5,24/03/2021
DGFyC-646966,SGO Inspecciones simples,CORRIENTES AV. 2322,9,37,003a,23/03/2021
DGFyC-590313,SGO Inspecciones simples,RIGLOS 407,40,51,001a,25/03/2021
DGFyC-646666,SGO Fiscalización Crítica,CASEROS AV. 3699,38,219,12,24/03/2021
DGFyC-496540,SGO Inspecciones simples,SALTA 1889,16,50,001A,26/03/2021
DGFyC-393690,SGO Inspecciones simples,BONPLAND 1617,35,17,20,25/03/2021
DGFyC-646900,SGO Inspecciones simples,CORRIENTES AV. 2322,9,37,003a,23/03/2021
DGFyC-646179,SGO Fiscalización Crítica,MORENO 2201,20,40,28,22/03/2021
DGFyC-533836,SGO Inspecciones simples,JURAMENTO AV. 2163,25,18,18,23/03/2021
DGFyC-642941,SGO Inspecciones simples,CASTAÑARES AV. 6102,80,59,20,23/03/2021
DGFyC-426789,SGO Inspecciones simples,SALTA 1356,14,53,010C,23/03/2021
DGFyC-643369,SGO Verificaciones,IRIGOYEN 453,91,043A,16,23/03/2021
DGFyC-646234,Auditorias Integrales Programadas,AVENIDA DEL LIBERTADOR 7446,27,89,24,22/03/2021
DGFyC-645654,SGO Grandes Superficies,RAUCH 3951,17,96,026A,25/03/2021
DGFyC-644610,SGO Inspecciones simples,CUENCA 2864,81,164,039A,25/03/2021
DGFyC-644217,SGO Inspecciones simples,NOGOYA 3664,81,112,6,25/03/2021
DGFyC-646406,SGO Grandes Superficies,PRIMERA JUNTA 4477,54,52,33,25/03/2021
DGFyC-646195,SGO Fiscalización Crítica,LA RIOJA 2165,32,101,43,23/03/2021
DGFyC-642541,SGO Inspecciones simples,CAMPANA 2614,81,149,19,24/03/2021
DGFyC-529170,SGO Est. Deportivos,CORRIENTES AV. 3234,13,59,003B,23/03/2021
DGFyC-532659,SGO Inspecciones simples,CUBA 2119,25,18,14,23/03/2021
DGFyC-643894,SGO Inspecciones simples,GUAMINI 5223,82,28,31,23/03/2021
DGFyC-644660,SGO Inspecciones simples,SALTA 1742,16,61,007b,23/03/2021
DGFyC-635646,SGO Inspecciones simples,MONTIEL 5165,82,23,5,23/03/2021
DGFyC-584529,SGO Fiscalización Nocturna,TRIUNVIRATO AV. 5786,63,110B,32,23/03/2021
DGFyC-646583,Auditorias Integrales Programadas,RIVADAVIA AV. 9840,60,118,005d,22/03/2021
DGFyC-646925,SGO Fiscalización Crítica,CORRIENTES AV. 2330,9,37,003a,23/03/2021
DGFyC-529302,SGO Inspecciones simples,SAN JOSE 1764,16,44,020a,26/03/2021
DGFyC-505839,SGO Grandes Superficies,HELGUERA 645,65,17,014A,23/03/2021
DGFyC-643848,SGO Inspecciones simples,ZAPIOLA 3865,43,114,008E,23/03/2021
DGFyC-640669,SGO Fiscalización Nocturna,ESTADOS UNIDOS 630,4,17,4,24/03/2021
DGFyC-644129,SGO Inspecciones simples,MAZA 1165,30,7,29,25/03/2021
DGFyC-646890,SGO Inspecciones simples,CORRIENTES AV. 2322,9,37,003a,23/03/2021
DGFyC-645555,SGO Inspecciones simples,CABILDO AV. 1168,37,152,7,25/03/2021
DGFyC-646997,SGO Fiscalización Nocturna,ESTADOS UNIDOS 758,4,11,5,24/03/2021
DGFyC-646894,SGO Inspecciones simples,CORRIENTES AV. 2322,9,37,003a,23/03/2021
