Campus Name,CCSF Entity,Lower Grade,Upper Grade,Grade Range,Category,Map Label,Lower Age,Upper Age,General Type,CDS Code,Campus Address,Supervisor District,County FIPS,County Name,Location 1,Neighborhoods (old),Zip Codes,Fire Prevention Districts,Police Districts,Supervisor Districts
Meadows-Livingstone School,Private,0,6,K-6,Independent / Private,IND272,5,11,IND,38684786909600,"1497 POTRERO AVE STE 1, SAN FRANCISCO, CA 94110",10,06075,SAN FRANCISCO,"CA
(37.749626, -122.404839)",19,28859,10,4,8
City College of San Francisco Chinatown North Beach Center,SFCCD,13,14,13-14,Community College District,CC01,18,19,CC,,"808 KEARNY ST, SAN FRANCISCO, CA 94108",7,06075,SAN FRANCISCO,"CA
(37.795555, -122.404701)",4,28857,3,1,10
Aptos Middle School,SFUSD,6,8,6-8,USD Grades 6-8,PS003,11,13,PS,38684786062020,"105 APTOS AVE, San Francisco, CA 94127",7,06075,SAN FRANCISCO,"CA
(37.729672, -122.465782)",40,59,9,8,4
Good Samaritan Child Development Center,Private,-2,-1,PK,Independent / Private,CDC047,3,4,CDC,384000227,"1294 POTRERO AVE, SAN FRANCISCO, CA 94110",9,06075,SAN FRANCISCO,"CA
(37.751873, -122.40657)",19,28859,10,4,7
"Lilienthal, Claire Lilienthal (K-2 Madison Campus)",SFUSD,0,8,K-8,USD Grades K-8,PS066,5,13,PS,38684786102479,"3950 SACRAMENTO ST, San Francisco, CA 94118",2,06075,SAN FRANCISCO,"CA
(37.787201, -122.458015)",31,54,11,6,1
Archbishop Riordan High School,Private,9,12,9-12,Independent / Private,IND211,14,17,IND,38684786939730,"175 PHELAN AVE, SAN FRANCISCO, CA 94112",7,06075,SAN FRANCISCO,"CA
(37.727902, -122.453056)",40,28861,9,7,4
Martha Hills Learning Center,Private,-2,-1,PK,Independent / Private,CDC094,3,4,CDC,384001666,"1042 JAMESTOWN AVE, SAN FRANCISCO, CA 94124",10,06075,SAN FRANCISCO,"CA
(37.719162, -122.394241)",1,58,10,3,8
Sunset Elementary School,SFUSD,0,5,K-5,USD Grades K-5,PS112,5,10,PS,38684786113997,"1920 41ST AVE, SAN FRANCISCO, CA 94116",4,06075,SAN FRANCISCO,"CA
(37.750523, -122.499153)",35,29491,1,8,3
Wu Yee Child Development Center - New Generation,Private,-2,-1,PK,Independent / Private,CDC163,3,4,CDC,384000921,"700 VELASCO AVE, SAN FRANCISCO, CA 94134",10,06075,SAN FRANCISCO,"CA
(37.710182, -122.418098)",39,309,9,7,8
Presidio Middle School,SFUSD,6,8,6-8,USD Grades 6-8,PS092,11,13,PS,38684786062079,"450 30TH AVE, San Francisco, CA 94121",1,06075,SAN FRANCISCO,"CA
(37.780865, -122.489624)",26,55,11,6,2
Bright Horizons - 2Nd St,Private,-2,4,PK-4,Independent / Private,IND217,3,9,IND,384002149,"303 02ND ST STE 250, SAN FRANCISCO, CA 94107",6,06075,SAN FRANCISCO,"CA
(37.785294, -122.395569)",6,28856,6,2,9
Buena Vista Child Care,Private,0,5,K-5,Independent / Private,IND223,5,10,IND,384002230,"3351 23RD ST, SAN FRANCISCO, CA 94110",9,06075,SAN FRANCISCO,"CA
(37.753567, -122.42028)",19,28859,2,4,7
Wu Yee Child Development Center - Generations,Private,-2,-1,PK,Independent / Private,CDC159,3,4,CDC,380505707,"1010 MONTGOMERY ST, SAN FRANCISCO, CA 94133",3,06075,SAN FRANCISCO,"CA
(37.798492, -122.403709)",23,308,3,1,10
Mission Neighborhood Centers - Southeast Families United Childcare,Private,-2,-1,PK,Independent / Private,CDC104,3,4,CDC,384001834,"1337 EVANS AVE, SAN FRANCISCO, CA 94124",10,06075,SAN FRANCISCO,"CA
(37.739754, -122.383591)",1,58,10,3,8
Wu Yee Child Development Center - Hunters Point/Kirkwood,Private,-2,-1,PK,Independent / Private,CDC161,3,4,CDC,384002529,"729 KIRKWOOD AVE, SAN FRANCISCO, CA 94124",10,06075,SAN FRANCISCO,"CA
(37.72887, -122.374405)",1,58,10,3,8
Mission Neighborhood Centers - Mission Bay,Private,-2,-1,PK,Independent / Private,CDC103,3,4,CDC,384001138,"150 BERRY ST, SAN FRANCISCO, CA 94107",6,06075,SAN FRANCISCO,"CA
(37.776493, -122.39299)",20,28856,6,2,9
Tenderloin Elementary / Early Education,SFUSD,-2,5,PK-5,"USD PreK-5, Grades K-5",PS115,3,10,PS,38684786115901,"627 TURK ST, San Francisco, CA 94102",6,06075,SAN FRANCISCO,"CA
(37.781796, -122.419777)",36,28852,7,9,9
Bay School Of San Francisco,Private,9,12,9-12,Independent / Private,IND214,14,17,IND,38684786138176,"35 KEYES AVE, SAN FRANCISCO, CA 94129",2,06075,SAN FRANCISCO,"CA
(37.800579, -122.455818)",30,61,11,,1
Lakeside Presbyterian Center For Children,Private,-2,0,PK-K,Independent / Private,IND261,3,5,IND,380500371,"201 EUCALYPTUS DR, SAN FRANCISCO, CA 94132",7,06075,SAN FRANCISCO,"CA
(37.730774, -122.475197)",14,64,1,8,4
Chinese Education Center Elementary School,SFUSD,0,5,K-5,USD Grades K-5,PS017,5,10,PS,38684786089569,"657 MERCHANT ST, SAN FRANCISCO, CA 94111",3,06075,SAN FRANCISCO,"CA
(37.794769, -122.40406)",4,28860,3,1,10
"Mahler, Theresa S. Mahler Early Education School",SFUSD,-2,-1,PK,USD PreK,CDC085,3,4,CDC,38684780117572,"990 CHURCH ST, San Francisco, CA 94114",8,06075,SAN FRANCISCO,"CA
(37.755276, -122.428093)",22,28862,2,4,5
Saint Philip School,Private,0,8,K-8,Independent / Private,IND305,5,13,IND,38684786980627,"665 ELIZABETH ST, SAN FRANCISCO, CA 94114",8,06075,SAN FRANCISCO,"CA
(37.751759, -122.435539)",22,28862,2,4,5
San Francisco Day School,Private,0,8,K-8,Independent / Private,IND314,5,13,IND,38684786915748,"350 MASONIC AVE, SAN FRANCISCO, CA 94118",5,06075,SAN FRANCISCO,"CA
(37.778042, -122.446281)",16,54,15,5,11
"Denman, James Denman Middle School / Leadership Charter High",SFUSD,6,8,6-8,USD Grades 6-8,PS024,11,13,PS,38684786059869,"241 ONEIDA AVE, San Francisco, CA 94112",11,06075,SAN FRANCISCO,"CA
(37.72131, -122.443184)",25,28861,9,7,6
Saint Brigid School,Private,0,8,K-8,Independent / Private,IND291,5,13,IND,38684786981682,"2230 FRANKLIN ST, SAN FRANCISCO, CA 94109",2,06075,SAN FRANCISCO,"CA
(37.795147, -122.424759)",27,28858,13,9,1
"Harte, Bret Harte Elementary / Early Education",SFUSD,-2,5,PK-5,USD PreK-5,PS043,3,10,PS,38684786040760,"1035 GILMAN AVE, San Francisco, CA 94124",10,06075,SAN FRANCISCO,"CA
(37.717899, -122.389221)",1,58,10,3,8
Rise Institute,Private,0,12,K-12,Independent / Private,IND286,5,17,IND,38684787019417,"1760 CESAR CHAVEZ STE R, SAN FRANCISCO, CA 94124",10,06075,SAN FRANCISCO,"CA
(37.750324, -122.394058)",1,58,10,3,8
Learning Bridge Preschool,Private,-2,-1,PK,Independent / Private,CDC073,3,4,CDC,384000353,"1050 KIRKHAM ST, SAN FRANCISCO, CA 94122",7,06075,SAN FRANCISCO,"CA
(37.760243, -122.472206)",12,56,1,8,4
Larkin Street Youth Services Academy,SFUSD,7,12,7-12,USD County School,PS060,12,17,PS,,"134 GOLDEN GATE AVE, SAN FRANCISCO CA 94102",6,06075,SAN FRANCISCO,"CA
(37.782265, -122.412987)",36,28852,7,10,9
Alt School - Dogpatch 2,Private,-1,2,TK-2,Independent / Private,IND203,4,7,IND,,"610 20TH ST, SAN FRANCISCO, CA 94107",10,06075,SAN FRANCISCO,"CA
(37.760662, -122.387962)",29,28856,10,3,8
Immaculate Conception Academy,Private,9,12,9-12,Independent / Private,IND252,14,17,IND,38684786939615,"3625 24TH ST, SAN FRANCISCO, CA 94110",8,06075,SAN FRANCISCO,"CA
(37.751667, -122.423416)",19,28859,2,4,5
C5 Childrens School - State Building Center,Private,-2,-1,PK,Independent / Private,CDC009,3,4,CDC,384002299,"455 GOLDEN GATE AVE, SAN FRANCISCO, CA 94102",6,06075,SAN FRANCISCO,"CA
(37.78104, -122.417915)",36,28852,7,9,9
Lowell High School,SFUSD,9,12,9-12,USD Grades 9-12,PS069,14,17,PS,38684783833407,"1101 EUCALYPTUS DR, San Francisco, CA 94132",7,06075,SAN FRANCISCO,"CA
(37.729435, -122.483055)",14,64,1,8,4
Alt School - North Beach,Private,-1,8,TK-8,Independent / Private,IND205,4,13,IND,,"838 KEARNY STREET, SAN FRANCISCO, CA 94108",3,06075,SAN FRANCISCO,"CA
(37.795811, -122.404892)",4,28857,3,1,10
Wu Yee Child Development Center - Cadillac,Private,-2,-1,PK,Independent / Private,CDC157,3,4,CDC,384002512,"398 EDDY ST, SAN FRANCISCO, CA 94102",6,06075,SAN FRANCISCO,"CA
(37.784054, -122.41394)",36,28852,7,10,9
"Lilienthal, Claire Lilienthal (3-8 Winfield Scott Campus)",SFUSD,0,8,K-8,USD Grades K-8,PS065,5,13,PS,38684786102479,"3630 DIVISADERO ST, San Francisco, CA 94123",2,06075,SAN FRANCISCO,"CA
(37.80336, -122.443237)",17,57,13,9,1
Lafayette Elementary School,SFUSD,-2,5,PK-5,USD PreK-5                                   ,PS058,3,10,PS,38684786041305,"4545 ANZA ST, San Francisco, CA 94121",1,06075,SAN FRANCISCO,"CA
(37.777069, -122.496887)",26,55,11,6,2
Woodside International School,Private,9,12,9-12,Independent / Private,IND338,14,17,IND,38684787078710,"1555 IRVING ST, SAN FRANCISCO, CA 94122",5,06075,SAN FRANCISCO,"CA
(37.763432, -122.474747)",12,56,1,8,11
Faces Sf Child Development Program - Haight Ashbury/Masonic,Private,-2,-1,PK,Independent / Private,CDC037,3,4,CDC,384002201,"1101 MASONIC AVE, SAN FRANCISCO, CA 94117",5,06075,SAN FRANCISCO,"CA
(37.770889, -122.445869)",9,29492,15,5,11
Mission Neighborhood Centers - Capp Head Start,Private,-2,-1,PK,Independent / Private,CDC100,3,4,CDC,380505268,"362 CAPP ST, SAN FRANCISCO, CA 94110",9,06075,SAN FRANCISCO,"CA
(37.760986, -122.418495)",19,28859,2,4,7
Mission Neighborhood Centers - Jean Jacobs,Private,-2,-1,PK,Independent / Private,CDC102,3,4,CDC,384001206,"459 VIENNA ST, SAN FRANCISCO, CA 94112",11,06075,SAN FRANCISCO,"CA
(37.720951, -122.429695)",5,28861,9,7,6
"Jordan, June Jordan High School",SFUSD,9,12,9-12,USD Grades 9-12,PS053,14,17,PS,38684780102103,"325 LA GRANDE AVE, San Francisco, CA 94112",11,06075,SAN FRANCISCO,"CA
(37.719536, -122.425148)",18,309,9,7,6
City College of San Francisco Gough Street Location,SFCCD,13,14,13-14,Community College District,CC06,18,19,CC,,"33 GOUGH ST, SAN FRANCISCO, CA 94103",6,06075,SAN FRANCISCO,"CA
(37.771988, -122.421211)",19,28853,8,2,9
"Muir, John Muir Elementary / Early Education",SFUSD,-2,5,PK-5,"USD PreK, Grades K-5",PS083,3,10,PS,38684786041255,"380 WEBSTER ST, San Francisco, CA 94102",5,06075,SAN FRANCISCO,"CA
(37.773758, -122.42868)",10,28852,7,9,11
"O'Connell, John O'Connell High School",SFUSD,9,12,9-12,USD Grades 9-12,PS086,14,17,PS,38684783834769,"2355 FOLSOM ST, San Francisco, CA 94110",9,06075,SAN FRANCISCO,"CA
(37.759514, -122.413559)",19,28859,2,4,7
Saint Charles School,Private,0,8,K-8,Independent / Private,IND293,5,13,IND,38684786981708,"376 SHOTWELL ST, SAN FRANCISCO, CA 94110",9,06075,SAN FRANCISCO,"CA
(37.762322, -122.416443)",19,28859,8,4,7
Friends Of Potrero Hill Preschool,Private,-2,-1,PK,Independent / Private,CDC040,3,4,CDC,384002303,"1060 TENNESSEE ST STE A, SAN FRANCISCO, CA 94107",10,06075,SAN FRANCISCO,"CA
(37.75856, -122.389587)",29,28856,10,3,8
"Parks, Rosa Parks Japanese Bilingual Bicultural Program / Weill, Raphael Weill  Early Education",SFUSD,0,5,K-5,"USD Grades K-5, PreK-5",PS089,5,10,PS,38684786041503,"1501 OFARRELL ST, San Francisco, CA 94115",5,06075,SAN FRANCISCO,"CA
(37.783009, -122.429504)",41,29490,7,9,11
Angelinas Preschool,Private,-2,-1,PK,Independent / Private,CDC004,3,4,CDC,384001103,"1851 NORIEGA ST, SAN FRANCISCO, CA 94122",4,06075,SAN FRANCISCO,"CA
(37.753666, -122.483765)",35,56,1,8,3
Wu Yee Child Development Center - Golden Gate,Private,-2,-1,PK,Independent / Private,CDC160,3,4,CDC,380506088,"177 GOLDEN GATE AVE, SAN FRANCISCO, CA 94102",6,06075,SAN FRANCISCO,"CA
(37.78167, -122.413559)",36,28852,7,10,9
"Brown, Willie Brown Jr Middle School",SFUSD,6,8,6-8,USD Grades 6-8,PS008,11,13,PS,38684780132241,"2055 SILVER AVE, San Francisco, CA 94124",10,06075,SAN FRANCISCO,"CA
(37.736477, -122.399574)",1,58,10,3,8
"Chavez, Cesar Chavez Elementary School / Preschool",SFUSD,-2,5,PK-5,USD PreK-5,PS015,3,10,PS,38684786041149,"825 SHOTWELL ST, San Francisco, CA 94110",9,06075,SAN FRANCISCO,"CA
(37.754921, -122.414879)",19,28859,2,4,7
"Feinstein, Dianne Feinstein Elementary School",SFUSD,0,5,K-5,USD Grades K-5,PS031,5,10,PS,38684780111427,"2550 25TH AVE, San Francisco, CA 94116",4,06075,SAN FRANCISCO,"CA
(37.739685, -122.481369)",35,29491,1,8,3
Monroe Elementary / Excelsior Monroe Early Education,SFUSD,0,5,K-5,USD Grades K-5,PS081,5,10,PS,38684786041446,"260 MADRID ST, San Francisco, CA 94112",11,06075,SAN FRANCISCO,"CA
(37.725399, -122.430489)",5,28861,9,7,6
Alt School - Soma,Private,6,8,6-8,Independent / Private,IND207,11,13,IND,38684786148282,"1245 FOLSOM ST, SAN FRANCISCO, CA 94103",6,06075,SAN FRANCISCO,"CA
(37.774181, -122.410484)",34,28853,8,2,9
Chinese Immersion School At Deavila,SFUSD,0,4,K-4,USD Grades K-4,PS018,5,9,PS,38684780120386,"1250 WALLER ST, San Francisco, CA 94117",5,06075,SAN FRANCISCO,"CA
(37.769829, -122.444275)",9,29492,15,5,11
Living Hope Christian School,Private,0,12,K-12,Independent / Private,IND268,5,17,IND,,"1209 GENEVA AVE, SAN FRANCISCO, CA 94112",11,06075,SAN FRANCISCO,"CA
(37.714336, -122.435829)",5,28861,9,7,6
Happy Times Nursery School,Private,-2,-1,PK,Independent / Private,CDC052,3,4,CDC,380503588,"1090 QUINTARA ST, SAN FRANCISCO, CA 94116",4,06075,SAN FRANCISCO,"CA
(37.748856, -122.476791)",35,29491,1,8,3
Voice Of Pentecost Academy,Private,0,12,K-12,Independent / Private,IND334,5,17,IND,38684786938914,"1970 OCEAN AVE, SAN FRANCISCO, CA 94127",7,06075,SAN FRANCISCO,"CA
(37.726364, -122.463974)",40,59,9,8,4
San Miguel Early Education School,SFUSD,-2,5,PK-5,USD PreK-5,PS102,3,10,PS,38684780117481,"300 SENECA AVE, San Francisco, CA 94112",11,06075,SAN FRANCISCO,"CA
(37.721645, -122.44471)",25,28861,9,7,6
Ucsf - University Child Care Center - Mission Bay,Private,-2,-1,PK,Independent / Private,CDC152,3,4,CDC,384001586,"1555 6TH ST, SAN FRANCISCO, CA 94158",6,06075,SAN FRANCISCO,"CA
(37.768677, -122.393967)",20,310,14,3,9
Longfellow Elementary School,SFUSD,0,5,K-5,USD Grades K-5,PS068,5,10,PS,38684786041362,"755 MORSE ST, San Francisco, CA 94112",11,06075,SAN FRANCISCO,"CA
(37.710423, -122.446739)",5,28861,9,7,6
"Webster, Daniel Webster Out-Of-School (OST) Program",SFUSD,0,5,K-5,USD Grades K-5,PS123,5,10,PS,38684786040893,"465 MISSOURI ST, San Francisco, CA 94107",10,06075,SAN FRANCISCO,"CA
(37.760521, -122.395843)",29,28856,10,3,8
Mission High School,SFUSD,9,12,9-12,USD Grades 9-12,PS080,14,17,PS,38684783834082,"3750 18TH ST, San Francisco, CA 94114",8,06075,SAN FRANCISCO,"CA
(37.76202, -122.427307)",3,28862,8,4,5
Miraloma Elementary School,SFUSD,0,5,K-5,USD Grades K-5,PS078,5,10,PS,38684786041438,"175 OMAR WAY, San Francisco, CA 94127",7,06075,SAN FRANCISCO,"CA
(37.738636, -122.450188)",40,59,9,7,4
Golden Gate Guppies Preschool,Private,-2,-1,PK,Independent / Private,CDC046,3,4,CDC,384002090,"2426 CALIFORNIA ST, SAN FRANCISCO, CA 94115",2,06075,SAN FRANCISCO,"CA
(37.789124, -122.434509)",27,29490,13,9,1
Lands End School,Private,-2,-1,PK,Independent / Private,CDC071,3,4,CDC,380506270,"4150 CLEMENT ST BLDG T35, SAN FRANCISCO, CA 94121",1,06075,SAN FRANCISCO,"CA
(37.782593, -122.504578)",15,55,11,6,2
San Francisco Pacific Academy,Private,0,8,K-8,Independent / Private,IND317,5,13,IND,38684786146054,"3301 BALBOA ST, SAN FRANCISCO, CA 94121",1,06075,SAN FRANCISCO,"CA
(37.775639, -122.494286)",26,55,11,6,2
"Wells, Ida B. Wells High School",SFUSD,9,12,9-12,USD Grades 9-12,PS124,14,17,PS,38684783830031,"1099 HAYES ST, SAN FRANCISCO, CA 94117",5,06075,SAN FRANCISCO,"CA
(37.775013, -122.433899)",10,29492,15,5,11
Munchkinland Preschool And Family Daycare,Private,-2,-1,PK,Independent / Private,CDC110,3,4,CDC,,"4710 CABRILLO ST, SAN FRANCISCO, CA 94121",1,06075,SAN FRANCISCO,"CA
(37.773445, -122.509254)",26,55,11,6,2
